Well,PlateID,Cytokine,Donor_ID,Sample,PreTreatment,Stim,Stim_Conc,Timepoint,Final_Concentration_pg_mL,Within_Range
B1,P1,IFNa,Donor_1,Donor_1_Untreated_Unstim,Untreated,Unstim,0,20h,0.01,Below LLOD
B2,P1,IFNa,Donor_1,Donor_1_IFNa_Unstim,IFNa,Unstim,0,20h,0.11,Below LLOD
B3,P1,IFNa,Donor_1,Donor_1_IFNb_Unstim,IFNb,Unstim,0,20h,0.34,Below LLOD
B4,P1,IFNa,Donor_1,Donor_1_IFNg_Unstim,IFNg,Unstim,0,20h,0.63,Between LLOD and LLOQ
B5,P1,IFNa,Donor_1,Donor_1_TNF_Unstim,TNF,Unstim,0,20h,0.01,Below LLOD
B6,P1,IFNa,Donor_1,Donor_1_IL-1b_Unstim,IL-1b,Unstim,0,20h,0.25,Below LLOD
B7,P1,IFNa,Donor_1,Donor_1_IL-6_Unstim,IL-6,Unstim,0,20h,0.1,Below LLOD
B8,P1,IFNa,Donor_1,Donor_1_IL-23_Unstim,IL-23,Unstim,0,20h,0.27,Below LLOD
B9,P1,IFNa,Donor_1,Donor_1_IFNa+TNF_Unstim,IFNa+TNF,Unstim,0,20h,0.29,Below LLOD
B10,P1,IFNa,Donor_1,Donor_1_Unstim_dup_Unstim,Unstim_dup,Unstim,0,20h,0.51,Between LLOD and LLOQ
B11,P1,IFNa,Donor_1,Donor_1_R848_dup_Unstim,R848_dup,Unstim,0,20h,1.55,Between LLOD and LLOQ
B12,P1,IFNa,Donor_1,Donor_1_LPS_dup_Unstim,LPS_dup,Unstim,0,20h,0.08,Below LLOD
C1,P1,IFNa,Donor_1,Donor_1_Untreated_LPS,Untreated,LPS,1,20h,30.24,Within Range
C2,P1,IFNa,Donor_1,Donor_1_IFNa_LPS,IFNa,LPS,1,20h,0.05,Below LLOD
C3,P1,IFNa,Donor_1,Donor_1_IFNb_LPS,IFNb,LPS,1,20h,50.28,Within Range
C4,P1,IFNa,Donor_1,Donor_1_IFNg_LPS,IFNg,LPS,1,20h,59.73,Within Range
C5,P1,IFNa,Donor_1,Donor_1_TNF_LPS,TNF,LPS,1,20h,4.88,Between LLOD and LLOQ
C6,P1,IFNa,Donor_1,Donor_1_IL-1b_LPS,IL-1b,LPS,1,20h,2.98,Between LLOD and LLOQ
C7,P1,IFNa,Donor_1,Donor_1_IL-6_LPS,IL-6,LPS,1,20h,51.39,Within Range
C8,P1,IFNa,Donor_1,Donor_1_IL-23_LPS,IL-23,LPS,1,20h,48.3,Within Range
C9,P1,IFNa,Donor_1,Donor_1_IFNa+TNF_LPS,IFNa+TNF,LPS,1,20h,8.44,Within Range
C10,P1,IFNa,Donor_1,Donor_1_Unstim_dup_LPS,Unstim_dup,LPS,1,20h,0.14,Below LLOD
C11,P1,IFNa,Donor_1,Donor_1_R848_dup_LPS,R848_dup,LPS,1,20h,0.12,Below LLOD
C12,P1,IFNa,Donor_1,Donor_1_LPS_dup_LPS,LPS_dup,LPS,1,20h,0.14,Below LLOD
D1,P1,IFNa,Donor_1,Donor_1_Untreated_R848,Untreated,R848,500,20h,61.08,Within Range
D2,P1,IFNa,Donor_1,Donor_1_IFNa_R848,IFNa,R848,500,20h,39.33,Within Range
D3,P1,IFNa,Donor_1,Donor_1_IFNb_R848,IFNb,R848,500,20h,141.13,Within Range
D4,P1,IFNa,Donor_1,Donor_1_IFNg_R848,IFNg,R848,500,20h,95.28,Within Range
D5,P1,IFNa,Donor_1,Donor_1_TNF_R848,TNF,R848,500,20h,112.08,Within Range
D6,P1,IFNa,Donor_1,Donor_1_IL-1b_R848,IL-1b,R848,500,20h,63.12,Within Range
D7,P1,IFNa,Donor_1,Donor_1_IL-6_R848,IL-6,R848,500,20h,392.0,Above ULOQ
D8,P1,IFNa,Donor_1,Donor_1_IL-23_R848,IL-23,R848,500,20h,105.85,Within Range
D9,P1,IFNa,Donor_1,Donor_1_IFNa+TNF_R848,IFNa+TNF,R848,500,20h,432.8,Above ULOQ
D10,P1,IFNa,Donor_1,Donor_1_Unstim_dup_R848,Unstim_dup,R848,500,20h,14.49,Within Range
D11,P1,IFNa,Donor_1,Donor_1_R848_dup_R848,R848_dup,R848,500,20h,47.48,Within Range
D12,P1,IFNa,Donor_1,Donor_1_LPS_dup_R848,LPS_dup,R848,500,20h,142.01,Within Range
E1,P1,IFNa,Donor_2,Donor_2_Untreated_Unstim,Untreated,Unstim,0,20h,0.97,Between LLOD and LLOQ
E2,P1,IFNa,Donor_2,Donor_2_IFNa_Unstim,IFNa,Unstim,0,20h,0.2,Below LLOD
E3,P1,IFNa,Donor_2,Donor_2_IFNb_Unstim,IFNb,Unstim,0,20h,1.19,Between LLOD and LLOQ
E4,P1,IFNa,Donor_2,Donor_2_IFNg_Unstim,IFNg,Unstim,0,20h,0.12,Below LLOD
E5,P1,IFNa,Donor_2,Donor_2_TNF_Unstim,TNF,Unstim,0,20h,0.13,Below LLOD
E6,P1,IFNa,Donor_2,Donor_2_IL-1b_Unstim,IL-1b,Unstim,0,20h,0.45,Below LLOD
E7,P1,IFNa,Donor_2,Donor_2_IL-6_Unstim,IL-6,Unstim,0,20h,0.11,Below LLOD
E8,P1,IFNa,Donor_2,Donor_2_IL-23_Unstim,IL-23,Unstim,0,20h,1.26,Between LLOD and LLOQ
E9,P1,IFNa,Donor_2,Donor_2_IFNa+TNF_Unstim,IFNa+TNF,Unstim,0,20h,0.02,Below LLOD
E10,P1,IFNa,Donor_2,Donor_2_Unstim_dup_Unstim,Unstim_dup,Unstim,0,20h,0.31,Below LLOD
E11,P1,IFNa,Donor_2,Donor_2_R848_dup_Unstim,R848_dup,Unstim,0,20h,0.21,Below LLOD
E12,P1,IFNa,Donor_2,Donor_2_LPS_dup_Unstim,LPS_dup,Unstim,0,20h,0.19,Below LLOD
F1,P1,IFNa,Donor_2,Donor_2_Untreated_LPS,Untreated,LPS,1,20h,44.68,Within Range
F2,P1,IFNa,Donor_2,Donor_2_IFNa_LPS,IFNa,LPS,1,20h,69.56,Within Range
F3,P1,IFNa,Donor_2,Donor_2_IFNb_LPS,IFNb,LPS,1,20h,0.36,Below LLOD
F4,P1,IFNa,Donor_2,Donor_2_IFNg_LPS,IFNg,LPS,1,20h,45.27,Within Range
F5,P1,IFNa,Donor_2,Donor_2_TNF_LPS,TNF,LPS,1,20h,3.38,Between LLOD and LLOQ
F6,P1,IFNa,Donor_2,Donor_2_IL-1b_LPS,IL-1b,LPS,1,20h,0.22,Below LLOD
F7,P1,IFNa,Donor_2,Donor_2_IL-6_LPS,IL-6,LPS,1,20h,4.79,Between LLOD and LLOQ
F8,P1,IFNa,Donor_2,Donor_2_IL-23_LPS,IL-23,LPS,1,20h,24.75,Within Range
F9,P1,IFNa,Donor_2,Donor_2_IFNa+TNF_LPS,IFNa+TNF,LPS,1,20h,1.3,Between LLOD and LLOQ
F10,P1,IFNa,Donor_2,Donor_2_Unstim_dup_LPS,Unstim_dup,LPS,1,20h,70.29,Within Range
F11,P1,IFNa,Donor_2,Donor_2_R848_dup_LPS,R848_dup,LPS,1,20h,3.38,Between LLOD and LLOQ
F12,P1,IFNa,Donor_2,Donor_2_LPS_dup_LPS,LPS_dup,LPS,1,20h,16.46,Within Range
G1,P1,IFNa,Donor_2,Donor_2_Untreated_R848,Untreated,R848,500,20h,361.81,Above ULOQ
G2,P1,IFNa,Donor_2,Donor_2_IFNa_R848,IFNa,R848,500,20h,359.11,Above ULOQ
G3,P1,IFNa,Donor_2,Donor_2_IFNb_R848,IFNb,R848,500,20h,1.96,Between LLOD and LLOQ
G4,P1,IFNa,Donor_2,Donor_2_IFNg_R848,IFNg,R848,500,20h,4.68,Between LLOD and LLOQ
G5,P1,IFNa,Donor_2,Donor_2_TNF_R848,TNF,R848,500,20h,449.5,Above ULOQ
G6,P1,IFNa,Donor_2,Donor_2_IL-1b_R848,IL-1b,R848,500,20h,18.11,Within Range
G7,P1,IFNa,Donor_2,Donor_2_IL-6_R848,IL-6,R848,500,20h,484.08,Above ULOQ
G8,P1,IFNa,Donor_2,Donor_2_IL-23_R848,IL-23,R848,500,20h,2.69,Between LLOD and LLOQ
G9,P1,IFNa,Donor_2,Donor_2_IFNa+TNF_R848,IFNa+TNF,R848,500,20h,3.92,Between LLOD and LLOQ
G10,P1,IFNa,Donor_2,Donor_2_Unstim_dup_R848,Unstim_dup,R848,500,20h,238.52,Above ULOQ
G11,P1,IFNa,Donor_2,Donor_2_R848_dup_R848,R848_dup,R848,500,20h,86.97,Within Range
G12,P1,IFNa,Donor_2,Donor_2_LPS_dup_R848,LPS_dup,R848,500,20h,132.14,Within Range
H1,P1,IFNa,Donor_1,Donor_1_Untreated_R848,Untreated,R848,500,20h,39.65,Within Range
H2,P1,IFNa,Donor_1,Donor_1_IFNa_R848,IFNa,R848,500,20h,112.19,Within Range
H3,P1,IFNa,Donor_1,Donor_1_IFNb_R848,IFNb,R848,500,20h,53.64,Within Range
H4,P1,IFNa,Donor_1,Donor_1_IFNg_R848,IFNg,R848,500,20h,394.96,Above ULOQ
H5,P1,IFNa,Donor_1,Donor_1_TNF_R848,TNF,R848,500,20h,82.46,Within Range
H6,P1,IFNa,Donor_1,Donor_1_IL-1b_R848,IL-1b,R848,500,20h,1.51,Between LLOD and LLOQ
H7,P1,IFNa,Donor_1,Donor_1_IL-6_R848,IL-6,R848,500,20h,92.36,Within Range
H8,P1,IFNa,Donor_1,Donor_1_IL-23_R848,IL-23,R848,500,20h,40.83,Within Range
H9,P1,IFNa,Donor_1,Donor_1_IFNa+TNF_R848,IFNa+TNF,R848,500,20h,3.34,Between LLOD and LLOQ
H10,P1,IFNa,Donor_1,Donor_1_Unstim_dup_R848,Unstim_dup,R848,500,20h,136.76,Within Range
H11,P1,IFNa,Donor_1,Donor_1_R848_dup_R848,R848_dup,R848,500,20h,221.26,Above ULOQ
H12,P1,IFNa,Donor_1,Donor_1_LPS_dup_R848,LPS_dup,R848,500,20h,103.66,Within Range
B1,P2,IFNa,Donor_1,Donor_1_Untreated_Unstim,Untreated,Unstim,0,20h,0.07,Below LLOD
B2,P2,IFNa,Donor_1,Donor_1_IFNa_Unstim,IFNa,Unstim,0,20h,1.36,Between LLOD and LLOQ
B3,P2,IFNa,Donor_1,Donor_1_IFNb_Unstim,IFNb,Unstim,0,20h,0.39,Below LLOD
B4,P2,IFNa,Donor_1,Donor_1_IFNg_Unstim,IFNg,Unstim,0,20h,0.79,Between LLOD and LLOQ
B5,P2,IFNa,Donor_1,Donor_1_TNF_Unstim,TNF,Unstim,0,20h,0.22,Below LLOD
B6,P2,IFNa,Donor_1,Donor_1_IL-1b_Unstim,IL-1b,Unstim,0,20h,0.23,Below LLOD
B7,P2,IFNa,Donor_1,Donor_1_IL-6_Unstim,IL-6,Unstim,0,20h,0.34,Below LLOD
B8,P2,IFNa,Donor_1,Donor_1_IL-23_Unstim,IL-23,Unstim,0,20h,0.65,Between LLOD and LLOQ
B9,P2,IFNa,Donor_1,Donor_1_IFNa+TNF_Unstim,IFNa+TNF,Unstim,0,20h,0.17,Below LLOD
B10,P2,IFNa,Donor_1,Donor_1_Unstim_dup_Unstim,Unstim_dup,Unstim,0,20h,0.87,Between LLOD and LLOQ
B11,P2,IFNa,Donor_1,Donor_1_R848_dup_Unstim,R848_dup,Unstim,0,20h,0.22,Below LLOD
B12,P2,IFNa,Donor_1,Donor_1_LPS_dup_Unstim,LPS_dup,Unstim,0,20h,0.14,Below LLOD
C1,P2,IFNa,Donor_1,Donor_1_Untreated_LPS,Untreated,LPS,1,20h,0.46,Below LLOD
C2,P2,IFNa,Donor_1,Donor_1_IFNa_LPS,IFNa,LPS,1,20h,4.38,Between LLOD and LLOQ
C3,P2,IFNa,Donor_1,Donor_1_IFNb_LPS,IFNb,LPS,1,20h,8.79,Within Range
C4,P2,IFNa,Donor_1,Donor_1_IFNg_LPS,IFNg,LPS,1,20h,67.7,Within Range
C5,P2,IFNa,Donor_1,Donor_1_TNF_LPS,TNF,LPS,1,20h,74.48,Within Range
C6,P2,IFNa,Donor_1,Donor_1_IL-1b_LPS,IL-1b,LPS,1,20h,17.47,Within Range
C7,P2,IFNa,Donor_1,Donor_1_IL-6_LPS,IL-6,LPS,1,20h,1.46,Between LLOD and LLOQ
C8,P2,IFNa,Donor_1,Donor_1_IL-23_LPS,IL-23,LPS,1,20h,0.76,Between LLOD and LLOQ
C9,P2,IFNa,Donor_1,Donor_1_IFNa+TNF_LPS,IFNa+TNF,LPS,1,20h,4.93,Between LLOD and LLOQ
C10,P2,IFNa,Donor_1,Donor_1_Unstim_dup_LPS,Unstim_dup,LPS,1,20h,4.03,Between LLOD and LLOQ
C11,P2,IFNa,Donor_1,Donor_1_R848_dup_LPS,R848_dup,LPS,1,20h,2.4,Between LLOD and LLOQ
C12,P2,IFNa,Donor_1,Donor_1_LPS_dup_LPS,LPS_dup,LPS,1,20h,79.66,Within Range
D1,P2,IFNa,Donor_1,Donor_1_Untreated_R848,Untreated,R848,500,20h,110.58,Within Range
D2,P2,IFNa,Donor_1,Donor_1_IFNa_R848,IFNa,R848,500,20h,51.54,Within Range
D3,P2,IFNa,Donor_1,Donor_1_IFNb_R848,IFNb,R848,500,20h,373.75,Above ULOQ
D4,P2,IFNa,Donor_1,Donor_1_IFNg_R848,IFNg,R848,500,20h,114.72,Within Range
D5,P2,IFNa,Donor_1,Donor_1_TNF_R848,TNF,R848,500,20h,3.13,Between LLOD and LLOQ
D6,P2,IFNa,Donor_1,Donor_1_IL-1b_R848,IL-1b,R848,500,20h,129.38,Within Range
D7,P2,IFNa,Donor_1,Donor_1_IL-6_R848,IL-6,R848,500,20h,144.51,Within Range
D8,P2,IFNa,Donor_1,Donor_1_IL-23_R848,IL-23,R848,500,20h,1.34,Between LLOD and LLOQ
D9,P2,IFNa,Donor_1,Donor_1_IFNa+TNF_R848,IFNa+TNF,R848,500,20h,104.53,Within Range
D10,P2,IFNa,Donor_1,Donor_1_Unstim_dup_R848,Unstim_dup,R848,500,20h,26.78,Within Range
D11,P2,IFNa,Donor_1,Donor_1_R848_dup_R848,R848_dup,R848,500,20h,273.86,Above ULOQ
D12,P2,IFNa,Donor_1,Donor_1_LPS_dup_R848,LPS_dup,R848,500,20h,96.71,Within Range
E1,P2,IFNa,Donor_2,Donor_2_Untreated_Unstim,Untreated,Unstim,0,20h,0.29,Below LLOD
E2,P2,IFNa,Donor_2,Donor_2_IFNa_Unstim,IFNa,Unstim,0,20h,0.47,Below LLOD
