Well;Content;Sample;DF_IFNa;DF_TNF;PreTreatment;PreTreatment_Conc;Stim;Stim_Conc;Timepoint
A01;Sample;Untreated_Unstim_0_5_5;5;5;Untreated;0;Unstim;0;20h
A02;Sample;Untreated_Unstim_0_5_5;5;5;Untreated;0;Unstim;0;20h
A03;Sample;Untreated_Unstim_0_5_5;5;5;Untreated;0;Unstim;0;20h
A04;Sample;Untreated_LPS_1_5_100;5;100;Untreated;0;LPS;1;20h
A05;Sample;Untreated_LPS_1_5_100;5;100;Untreated;0;LPS;1;20h
A06;Sample;Untreated_LPS_1_5_100;5;100;Untreated;0;LPS;1;20h
A07;Sample;Untreated_R848_500_5_50;5;50;Untreated;0;R848;500;20h
A08;Sample;Untreated_R848_500_5_50;5;50;Untreated;0;R848;500;20h
A09;Sample;Untreated_R848_500_5_50;5;50;Untreated;0;R848;500;20h
A10;;;;;;;;;20h
A11;Standard S1;Standard S1;;;;;;;20h
A12;Standard S1;Standard S1;;;;;;;20h
B01;Sample;IFNa_Unstim_0_25_5;25;5;IFNa;10;Unstim;0;20h
B02;Sample;IFNa_Unstim_0_25_5;25;5;IFNa;10;Unstim;0;20h
B03;Sample;IFNa_Unstim_0_25_5;25;5;IFNa;10;Unstim;0;20h
B04;Sample;IFNa_LPS_1_25_100;25;100;IFNa;10;LPS;1;20h
B05;Sample;IFNa_LPS_1_25_100;25;100;IFNa;10;LPS;1;20h
B06;Sample;IFNa_LPS_1_25_100;25;100;IFNa;10;LPS;1;20h
B07;Sample;IFNa_R848_500_25_50;25;50;IFNa;10;R848;500;20h
B08;Sample;IFNa_R848_500_25_50;25;50;IFNa;10;R848;500;20h
B09;Sample;IFNa_R848_500_25_50;25;50;IFNa;10;R848;500;20h
B10;;;;;;;;;20h
B11;Standard S2;Standard S2;;;;;;;20h
B12;Standard S2;Standard S2;;;;;;;20h
C01;Sample;IFNb_Unstim_0_5_5;5;5;IFNb;10;Unstim;0;20h
C02;Sample;IFNb_Unstim_0_5_5;5;5;IFNb;10;Unstim;0;20h
C03;Sample;IFNb_Unstim_0_5_5;5;5;IFNb;10;Unstim;0;20h
C04;Sample;IFNb_LPS_1_5_100;5;100;IFNb;10;LPS;1;20h
